order_id,customer_id,order_date,payment_method
ORD10241,CUST3697,2025-11-16,Card
ORD10242,CUST1426,2025-04-21,UPI
ORD10243,CUST2746,2025-09-11,NetBanking
ORD10244,CUST1640,2025-10-23,COD
ORD10245,CUST4533,2024-06-24,UPI
ORD10246,CUST1022,2024-09-19,UPI
ORD10247,CUST2234,2025-09-15,UPI
ORD10248,CUST3982,2023-08-19,Card
ORD10249,CUST4066,2023-07-09,Card
ORD10250,CUST3741,2024-04-11,COD
ORD10251,CUST3791,2025-04-12,COD
ORD10252,CUST5405,2024-07-17,UPI
ORD10253,CUST2774,2023-04-20,Card
ORD10254,CUST3037,2025-03-24,NetBanking
ORD10255,CUST4793,2025-10-01,COD
ORD10256,CUST3899,2024-05-12,COD
ORD10257,CUST3046,2024-11-24,Card
ORD10258,CUST4298,2023-08-08,COD
ORD10259,CUST3945,2024-05-04,UPI
ORD10260,CUST1020,2024-11-21,Card
ORD10261,CUST1985,2024-11-12,COD
ORD10262,CUST5936,2023-04-26,COD
ORD10263,CUST2772,2023-09-30,Card
ORD10264,CUST1112,2024-05-14,UPI
ORD10265,CUST5269,2025-07-30,UPI
ORD10266,CUST2841,2024-05-07,NetBanking
ORD10267,CUST4901,2025-02-16,UPI
ORD10268,CUST5182,2025-09-18,Card
ORD10269,CUST4332,2024-10-09,COD
ORD10270,CUST1428,2025-04-20,NetBanking
ORD10271,CUST3913,2025-07-22,Card
ORD10272,CUST1353,2023-07-11,Card
ORD10273,CUST3440,2023-06-06,NetBanking
ORD10274,CUST1919,2025-03-23,COD
ORD10275,CUST3146,2024-10-08,COD
ORD10276,CUST4741,2024-10-18,NetBanking
ORD10277,CUST4730,2023-04-03,NetBanking
ORD10278,CUST5959,2023-04-20,UPI
ORD10279,CUST4937,2025-02-19,Card
ORD10280,CUST5245,2024-12-23,COD
ORD10281,CUST5349,2024-02-19,COD
ORD10282,CUST2787,2024-02-21,UPI
ORD10283,CUST4002,2025-03-25,Card
ORD10284,CUST1845,2024-12-18,NetBanking
ORD10285,CUST4297,2023-10-21,NetBanking
ORD10286,CUST2550,2023-08-24,NetBanking
ORD10287,CUST3122,2023-02-06,NetBanking
ORD10288,CUST2491,2025-04-29,UPI
ORD10289,CUST4568,2025-06-23,COD
ORD10290,CUST2950,2025-10-18,NetBanking
ORD10291,CUST5002,2025-02-23,NetBanking
ORD10292,CUST5092,2025-09-08,COD
ORD10293,CUST2559,2025-09-09,COD
ORD10294,CUST3818,2024-09-10,UPI
ORD10295,CUST2623,2024-02-18,UPI
ORD10296,CUST5290,2024-10-31,UPI
ORD10297,CUST4484,2023-11-27,UPI
ORD10298,CUST2154,2024-01-27,NetBanking
ORD10299,CUST2478,2024-02-07,NetBanking
ORD10300,CUST5431,2024-05-27,NetBanking
ORD10301,CUST4762,2024-01-22,NetBanking
ORD10302,CUST2694,2025-09-23,Card
ORD10303,CUST4154,2024-12-06,NetBanking
ORD10304,CUST3591,2025-02-23,NetBanking
ORD10305,CUST1474,2023-01-10,UPI
ORD10306,CUST2441,2024-10-24,COD
ORD10307,CUST5807,2023-11-15,COD
ORD10308,CUST2857,2024-08-07,Card
ORD10309,CUST4802,2023-08-04,UPI
ORD10310,CUST1793,2024-12-04,Card
ORD10311,CUST4015,2024-02-27,NetBanking
ORD10312,CUST3419,2024-05-12,NetBanking
ORD10313,CUST4675,2023-07-02,Card
ORD10314,CUST2866,2025-09-11,UPI
ORD10315,CUST3892,2023-09-05,NetBanking
ORD10316,CUST2742,2025-07-27,COD
ORD10317,CUST4952,2025-08-10,COD
ORD10318,CUST1618,2025-02-19,UPI
ORD10319,CUST3040,2023-04-12,COD
ORD10320,CUST2826,2023-07-19,COD
ORD10321,CUST4520,2024-12-31,COD
ORD10322,CUST3637,2023-06-25,NetBanking
ORD10323,CUST3987,2025-11-03,UPI
ORD10324,CUST2949,2024-11-06,NetBanking
ORD10325,CUST2921,2025-04-09,Card
ORD10326,CUST1849,2023-04-16,Card
ORD10327,CUST4361,2023-05-08,COD
ORD10328,CUST5790,2025-10-10,UPI
ORD10329,CUST1642,2024-11-03,Card
ORD10330,CUST3195,2023-03-04,COD
ORD10331,CUST4662,2023-07-10,UPI
ORD10332,CUST3902,2024-09-24,NetBanking
ORD10333,CUST1856,2025-01-21,COD
ORD10334,CUST4963,2024-06-26,UPI
ORD10335,CUST3630,2024-04-19,Card
ORD10336,CUST2905,2025-01-08,NetBanking
ORD10337,CUST2816,2024-10-10,NetBanking
ORD10338,CUST2335,2023-11-05,NetBanking
ORD10339,CUST1999,2023-05-25,NetBanking
ORD10340,CUST1976,2024-11-26,NetBanking
ORD10341,CUST5836,2023-07-29,Card
ORD10342,CUST5597,2025-05-09,UPI
ORD10343,CUST2637,2024-02-18,UPI
ORD10344,CUST2170,2024-08-07,UPI
ORD10345,CUST1543,2024-05-23,Card
ORD10346,CUST2587,2023-12-23,UPI
ORD10347,CUST2128,2025-07-16,NetBanking
ORD10348,CUST5273,2023-04-04,NetBanking
ORD10349,CUST5394,2025-07-27,UPI
ORD10350,CUST3993,2025-09-18,NetBanking
ORD10351,CUST3673,2024-03-20,COD
ORD10352,CUST1263,2024-07-09,NetBanking
ORD10353,CUST5758,2025-08-06,COD
ORD10354,CUST5556,2023-05-12,UPI
ORD10355,CUST4465,2024-05-22,UPI
ORD10356,CUST4343,2023-12-14,COD
ORD10357,CUST3216,2024-05-30,Card
ORD10358,CUST3755,2024-02-04,NetBanking
ORD10359,CUST5982,2024-09-17,Card
ORD10360,CUST1527,2023-06-23,COD
ORD10361,CUST2960,2023-02-18,UPI
ORD10362,CUST3954,2025-06-08,UPI
ORD10363,CUST2991,2025-09-03,COD
ORD10364,CUST3258,2024-03-10,NetBanking
ORD10365,CUST5556,2023-05-02,COD
ORD10366,CUST5038,2023-11-29,Card
ORD10367,CUST2350,2025-09-04,Card
ORD10368,CUST1852,2024-07-11,Card
ORD10369,CUST1317,2024-10-27,UPI
ORD10370,CUST4541,2023-10-01,COD
ORD10371,CUST1700,2023-12-04,UPI
ORD10372,CUST5777,2023-07-26,Card
ORD10373,CUST4852,2025-05-16,COD
ORD10374,CUST1604,2024-10-13,COD
ORD10375,CUST2667,2022-12-21,NetBanking
ORD10376,CUST4191,2024-06-21,Card
ORD10377,CUST3746,2024-02-26,UPI
ORD10378,CUST4324,2025-02-18,UPI
ORD10379,CUST1870,2024-02-05,COD
ORD10380,CUST5023,2023-10-08,COD
ORD10381,CUST3719,2025-03-17,UPI
ORD10382,CUST1713,2023-01-07,COD
ORD10383,CUST4435,2024-12-01,COD
ORD10384,CUST1627,2023-04-13,Card
ORD10385,CUST5351,2025-04-29,UPI
ORD10386,CUST3991,2024-11-04,NetBanking
ORD10387,CUST2159,2025-03-14,NetBanking
ORD10388,CUST5434,2024-10-14,Card
ORD10389,CUST5108,2022-12-07,Card
ORD10390,CUST4122,2023-04-05,COD
ORD10391,CUST1542,2024-11-22,Card
ORD10392,CUST5506,2025-04-24,UPI
ORD10393,CUST5770,2024-12-20,Card
ORD10394,CUST2992,2025-09-11,COD
ORD10395,CUST4674,2023-03-09,COD
ORD10396,CUST1341,2024-08-07,NetBanking
ORD10397,CUST1448,2023-04-23,Card
ORD10398,CUST5323,2023-01-30,Card
ORD10399,CUST5314,2023-01-24,COD
ORD10400,CUST4419,2025-02-13,COD
ORD10401,CUST1721,2023-04-21,NetBanking
ORD10402,CUST1704,2023-08-31,NetBanking
ORD10403,CUST3894,2023-11-03,NetBanking
ORD10404,CUST5782,2023-06-16,Card
ORD10405,CUST3890,2024-03-12,COD
ORD10406,CUST4246,2025-05-11,NetBanking
ORD10407,CUST4947,2023-05-25,UPI
ORD10408,CUST1558,2024-08-17,COD
ORD10409,CUST5119,2025-03-24,COD
ORD10410,CUST2412,2025-09-11,Card
ORD10411,CUST5023,2024-08-25,NetBanking
ORD10412,CUST3800,2024-10-24,NetBanking
ORD10413,CUST3263,2024-01-05,NetBanking
ORD10414,CUST3593,2024-07-08,UPI
ORD10415,CUST5004,2023-12-24,NetBanking
ORD10416,CUST4030,2023-01-30,Card
ORD10417,CUST5853,2023-08-23,COD
ORD10418,CUST4287,2025-04-24,Card
ORD10419,CUST4932,2024-03-30,NetBanking
ORD10420,CUST2496,2025-01-17,Card
ORD10421,CUST5025,2025-08-25,COD
ORD10422,CUST2876,2023-11-01,COD
ORD10423,CUST1718,2023-01-05,COD
ORD10424,CUST4967,2025-08-17,COD
ORD10425,CUST4769,2025-07-21,NetBanking
ORD10426,CUST2744,2025-06-02,NetBanking
ORD10427,CUST3145,2023-08-16,COD
ORD10428,CUST1878,2025-10-30,NetBanking
ORD10429,CUST1447,2022-12-10,NetBanking
ORD10430,CUST4389,2022-11-26,COD
ORD10431,CUST2265,2023-04-06,NetBanking
ORD10432,CUST5894,2023-03-02,NetBanking
ORD10433,CUST4699,2024-09-21,UPI
ORD10434,CUST2076,2025-01-13,NetBanking
ORD10435,CUST3035,2024-10-27,COD
ORD10436,CUST2482,2022-11-24,Card
ORD10437,CUST1383,2025-06-22,COD
ORD10438,CUST3299,2023-08-02,COD
ORD10439,CUST1555,2023-11-01,NetBanking
ORD10440,CUST1809,2025-09-15,UPI
ORD10441,CUST3550,2025-08-29,COD
ORD10442,CUST2344,2023-10-23,COD
ORD10443,CUST4693,2025-05-08,NetBanking
ORD10444,CUST2273,2025-06-26,COD
ORD10445,CUST3015,2024-07-21,Card
ORD10446,CUST1958,2023-09-17,COD
ORD10447,CUST5826,2023-05-06,UPI
ORD10448,CUST3460,2024-10-19,COD
ORD10449,CUST1963,2025-08-29,NetBanking
ORD10450,CUST5054,2023-03-05,NetBanking
ORD10451,CUST5068,2025-08-31,COD
ORD10452,CUST1412,2025-02-03,Card
ORD10453,CUST3379,2024-11-14,UPI
ORD10454,CUST1929,2025-04-05,COD
ORD10455,CUST1545,2025-06-13,NetBanking
ORD10456,CUST1346,2024-08-15,Card
ORD10457,CUST5058,2025-10-08,UPI
ORD10458,CUST2004,2024-07-26,UPI
ORD10459,CUST1427,2022-11-25,Card
ORD10460,CUST3565,2024-06-19,UPI
ORD10461,CUST2799,2023-02-06,UPI
ORD10462,CUST2443,2025-11-11,Card
ORD10463,CUST2876,2022-12-03,COD
ORD10464,CUST2618,2025-02-23,NetBanking
ORD10465,CUST3182,2025-10-16,UPI
ORD10466,CUST2657,2024-12-08,NetBanking
ORD10467,CUST1149,2025-04-27,COD
ORD10468,CUST2986,2023-01-08,Card
ORD10469,CUST1231,2023-07-14,Card
ORD10470,CUST3901,2023-11-19,COD
ORD10471,CUST4429,2024-11-03,Card
ORD10472,CUST2534,2024-11-28,UPI
ORD10473,CUST1443,2024-08-08,UPI
ORD10474,CUST4471,2025-09-10,NetBanking
ORD10475,CUST4352,2023-07-06,NetBanking
ORD10476,CUST5229,2025-02-26,UPI
ORD10477,CUST3514,2025-05-23,NetBanking
ORD10478,CUST2936,2025-05-17,UPI
ORD10479,CUST1123,2023-04-11,COD
ORD10480,CUST3533,2024-04-04,UPI
ORD10481,CUST1008,2025-01-31,NetBanking
ORD10482,CUST1412,2024-02-25,NetBanking
ORD10483,CUST5961,2022-11-29,UPI
ORD10484,CUST3523,2022-12-06,NetBanking
ORD10485,CUST1922,2023-03-03,UPI
ORD10486,CUST1509,2024-08-09,NetBanking
ORD10487,CUST1230,2025-02-09,UPI
ORD10488,CUST1996,2024-11-18,UPI
ORD10489,CUST4549,2025-01-08,COD
ORD10490,CUST4398,2023-09-17,Card
ORD10491,CUST3249,2024-08-25,NetBanking
ORD10492,CUST1442,2024-02-12,UPI
ORD10493,CUST1547,2022-12-27,UPI
ORD10494,CUST1582,2024-02-17,Card
ORD10495,CUST3881,2024-07-08,Card
ORD10496,CUST4294,2023-02-23,Card
ORD10497,CUST1947,2024-06-28,COD
ORD10498,CUST4551,2024-04-01,NetBanking
ORD10499,CUST4165,2024-08-17,COD
ORD10500,CUST5872,2023-04-07,UPI
ORD10501,CUST1779,2024-09-30,UPI
ORD10502,CUST5712,2023-09-22,NetBanking
ORD10503,CUST2029,2025-09-21,NetBanking
ORD10504,CUST3417,2025-11-22,NetBanking
ORD10505,CUST1938,2023-05-22,COD
ORD10506,CUST5426,2024-02-03,UPI
ORD10507,CUST3615,2025-11-05,Card
ORD10508,CUST3810,2024-09-10,NetBanking
ORD10509,CUST3179,2023-03-11,UPI
ORD10510,CUST1330,2023-05-27,NetBanking
ORD10511,CUST1629,2023-08-03,COD
ORD10512,CUST5242,2023-01-31,Card
ORD10513,CUST1494,2023-08-08,NetBanking
ORD10514,CUST1648,2023-04-11,NetBanking
ORD10515,CUST2509,2024-01-22,UPI
ORD10516,CUST1739,2024-04-13,COD
ORD10517,CUST5590,2024-03-06,Card
ORD10518,CUST3424,2025-07-03,UPI
ORD10519,CUST2722,2024-11-20,COD
ORD10520,CUST4581,2024-04-06,NetBanking
ORD10521,CUST1688,2024-03-06,Card
ORD10522,CUST1229,2023-01-13,UPI
ORD10523,CUST2708,2025-09-05,COD
ORD10524,CUST4193,2023-12-06,Card
ORD10525,CUST3456,2025-05-07,NetBanking
ORD10526,CUST1694,2023-08-07,Card
ORD10527,CUST5595,2024-01-01,Card
ORD10528,CUST1852,2022-12-11,COD
ORD10529,CUST2642,2025-09-15,COD
ORD10530,CUST2906,2025-08-22,COD
ORD10531,CUST3608,2024-12-12,UPI
ORD10532,CUST4084,2024-02-24,UPI
ORD10533,CUST5300,2025-09-12,NetBanking
ORD10534,CUST3263,2024-10-06,UPI
ORD10535,CUST4923,2024-11-15,COD
ORD10536,CUST4665,2023-07-19,NetBanking
ORD10537,CUST1277,2024-04-27,UPI
ORD10538,CUST1414,2025-07-24,Card
ORD10539,CUST4206,2025-06-06,COD
ORD10540,CUST3178,2025-03-08,UPI
ORD10541,CUST1493,2023-05-22,NetBanking
ORD10542,CUST5606,2023-10-15,Card
ORD10543,CUST3492,2025-02-02,Card
ORD10544,CUST5436,2025-08-11,Card
ORD10545,CUST3516,2024-07-18,NetBanking
ORD10546,CUST2097,2023-03-13,COD
ORD10547,CUST1995,2025-05-07,COD
ORD10548,CUST4148,2025-07-15,NetBanking
ORD10549,CUST3806,2024-11-04,COD
ORD10550,CUST2249,2023-03-27,Card
ORD10551,CUST4255,2025-03-29,Card
ORD10552,CUST5842,2025-07-05,NetBanking
ORD10553,CUST5028,2024-04-25,COD
ORD10554,CUST4126,2023-09-22,COD
ORD10555,CUST2444,2025-09-06,COD
ORD10556,CUST5645,2024-09-16,NetBanking
ORD10557,CUST3448,2024-05-14,UPI
ORD10558,CUST2405,2023-11-02,COD
ORD10559,CUST4966,2025-01-28,Card
ORD10560,CUST1057,2025-06-23,COD
ORD10561,CUST4518,2025-10-16,COD
ORD10562,CUST2249,2024-05-06,COD
ORD10563,CUST2596,2025-02-07,COD
ORD10564,CUST2703,2023-03-23,NetBanking
ORD10565,CUST3051,2023-04-20,Card
ORD10566,CUST1955,2023-03-25,COD
ORD10567,CUST2205,2025-06-03,COD
ORD10568,CUST2050,2025-07-26,COD
ORD10569,CUST2035,2024-07-06,Card
ORD10570,CUST1386,2025-07-15,NetBanking
ORD10571,CUST5150,2025-04-05,NetBanking
ORD10572,CUST2503,2023-09-09,COD
ORD10573,CUST1867,2025-01-07,NetBanking
ORD10574,CUST4602,2024-01-22,NetBanking
ORD10575,CUST1225,2024-05-26,UPI
ORD10576,CUST1357,2024-05-20,UPI
ORD10577,CUST2858,2024-03-22,UPI
ORD10578,CUST3758,2023-02-06,Card
ORD10579,CUST2808,2024-01-07,Card
ORD10580,CUST4744,2024-03-07,COD
ORD10581,CUST2834,2025-04-07,UPI
ORD10582,CUST1743,2024-06-10,Card
ORD10583,CUST5584,2024-07-31,NetBanking
ORD10584,CUST4026,2024-08-07,NetBanking
ORD10585,CUST2659,2025-05-21,Card
ORD10586,CUST2677,2023-06-11,UPI
ORD10587,CUST2306,2023-08-25,NetBanking
ORD10588,CUST3841,2024-03-10,COD
ORD10589,CUST5135,2024-07-31,NetBanking
ORD10590,CUST1883,2023-12-22,NetBanking
ORD10591,CUST2606,2025-07-13,UPI
ORD10592,CUST5785,2023-09-27,UPI
ORD10593,CUST3541,2023-08-11,COD
ORD10594,CUST4123,2022-12-12,Card
ORD10595,CUST5650,2024-10-17,UPI
ORD10596,CUST4643,2023-06-19,NetBanking
ORD10597,CUST2898,2023-12-04,NetBanking
ORD10598,CUST3907,2025-08-23,COD
ORD10599,CUST1951,2024-12-17,NetBanking
ORD10600,CUST2123,2025-06-27,Card
ORD10601,CUST4627,2025-10-12,UPI
ORD10602,CUST4178,2023-04-22,COD
ORD10603,CUST1862,2024-01-31,UPI
ORD10604,CUST3140,2025-09-07,UPI
ORD10605,CUST5540,2023-12-20,COD
ORD10606,CUST5541,2024-09-28,Card
